question_id,conversation_starter_id,question_type,question_stem,module_header
QID100,CSID100,BINARY_TEXT,You prefer outdoor activities.,"""I prefer outdoor activities."""
QID101,CSID101,MCQ_TEXT,How do you generally spend your weekend?,Typical weekend plans
QID105,CSID103,MCQ_TEXT,Time for a vacation! What's your plan?,Time off well spent
QID106,CSID104,MCQ_TEXT,What's your top priority when traveling?,Vacation spot must-have
QID107,CSID105,BINARY_TEXT,Travel is a big part of my life.,"""Travel is a big part of my life."""
QID116,CSID107,MCQ_TEXT,Date night! Which restaurant would be your first choice?,Go-to takeout order
QID118,CSID108,MCQ_TEXT,It's a weeknight. How do you decide what's for dinner?,First rule of food
QID124,CSID110,MCQ_TEXT,How often do you grab fast food?,Fast food frequency
QID126,CSID112,MCQ_TEXT,How often do you order takeout or delivery each week?,Ordering delivery
QID128,CSID114,BINARY_TEXT,My grocery haul is mostly healthy foods.,"""I check nutritional info when shopping."""
QID129,CSID115,BINARY_TEXT,Your friends would call you a neat freak.,"""My friends call me a neat freak."""
QID144,CSID118,MCQ_TEXT,What motivates you to exercise?,Fitness motivation
QID145,CSID119,BINARY_TEXT,You'd love to work out with your partner.,"""I'd love to work out with my partner."""
QID154,CSID120,BINARY_TEXT,Staying fit is important to you. ,"""Staying fit is important to me."""
QID158,CSID121,BINARY_TEXT,"You're definitely a ""night out"" kind of person.","""I'm a 'night out' kind of person."""
QID160,CSID123,MCQ_TEXT,How do you feel about traveling as a group?,Thoughts on group travel
QID161,CSID124,MCQ_TEXT,What kind of social activities do you tend to enjoy the most?,Happy place
QID162,CSID125,BINARY_TEXT,You're very much a night owl. ,"""I'm definitely a night owl."""
QID163,CSID126,BINARY_TEXT,You're open to your partner having a different sleep schedule from yours. ,"""Different sleep schedules are fine."""
QID166,CSID128,BINARY_TEXT,You feel energized after hanging out with a big group of friends. ,"""I feel energized in big groups."""
QID168,CSID129,BINARY_TEXT,You need time alone at home on weekends.,"""I need alone time on weekends."""
QID170,CSID132,MCQ_TEXT,Do you prefer to spend your free time alone or with others?,Free time: social or alone?
QID180,CSID133,BINARY_TEXT,You don't mind if you and your partner have different opinions. ,Couple debates
QID197,CSID136,BINARY_TEXT,"For you, work is all about building an empire. ","""Work is about building my empire."""
QID206,CSID140,BINARY_TEXT,You're very interested in politics. ,"""I'm very interested in politics."""
QID217,CSID142,BINARY_TEXT,Following your family traditions is important to you.,"""Following family traditions matters."""
QID219,CSID143,BINARY_TEXT,You enjoy gatherings with close family.,"""I enjoy close family gatherings."""
QID258,CSID147,BINARY_TEXT,You'd take a job with a lot of travel required.,"""I'd relocate for work."""
QID259,CSID148,BINARY_TEXT,Climbing the career ladder is important to you.,"""Career growth is important to me."""
QID282,CSID155,MCQ_IMAGE,Rise and shine! What's for breakfast? Choose all that apply.,Breakfast order
QID316,CSID161,BINARY_TEXT,"You work to live, not live to work. ","""I work to live, not live to work."""
QID317,CSID162,BINARY_TEXT,You work on creative projects for fun. ,"""I enjoy creative projects."""
QID318,CSID163,BINARY_TEXT,Handmade gifts are more meaningful to you.,"""Handmade gifts are meaningful to me."""
QID320,CSID165,BINARY_TEXT,You'd move across the country for the right job.,"""I'd move for the right job."""
QID324,CSID167,BINARY_TEXT,Your friends call you a workaholic.,"""I've been called a workaholic."""
QID326,CSID169,MCQ_TEXT,Do you work while on vacation?,Taking work on holiday
QID329,CSID172,MCQ_TEXT,Who cleans your home?,Who cleans your home
QID336,CSID400,MCQ_TEXT,Which would you find attractive in a partner?,Hottest artistic skill
QID339,CSID181,MCQ_TEXT,Do you like spicy food?,Cooking with spices
QID340,CSID182,MCQ_TEXT,Do you want a partner you can cook with?,Cooking with a partner
QID341,CSID183,MCQ_TEXT,Who do you prefer to manage your household finances?,Who handles the money
QID342,CSID184,BINARY_TEXT,You consider yourself a gamer. ,"""I consider myself a gamer."""
QID343,CSID185,BINARY_TEXT,You forgive and forget.,"""Forgiving means forgetting too."""
QID344,CSID186,BINARY_TEXT,You enjoy watching others play video games. ,"""I enjoy watching video games."""
QID345,CSID187,MCQ_TEXT,How often do you play video games?,Gaming habits
QID346,CSID188,MCQ_TEXT,Do you want a partner who plays video games?,Finding a partner who games
QID348,CSID190,MCQ_TEXT,What kinds of games are you into? Choose all that apply.,A game you enjoy
QID349,CSID191,MCQ_IMAGE,What outdoor sports do you enjoy? Choose all that apply.,A sport you play
