category (auto-filled),subcategory (auto-filled),insight_subject,insight_tag,is_used_for_explanation,Is changed 2025-03?,,changed_used_exp_0328
Dating,Communication,Conflict resolution,Appreciates gestures with apologies,FALSE,TRUE,Wording change,
Dating,Communication,Conflict resolution,Approaches conflicts with a level head,FALSE,TRUE,Split,
Dating,Communication,Conflict resolution,Can forgive and forget,FALSE,TRUE,Wording change,
Dating,Communication,Conflict resolution,Can't forgive and forget,FALSE,TRUE,Wording change,
Dating,Communication,Conflict resolution,Communicates directly in conflicts,FALSE,TRUE,Wording change,
Dating,Communication,Conflict resolution,Needs space post-conflict,FALSE,TRUE,Split,
Dating,Communication,Conflict resolution,Non-confrontational in conflicts,FALSE,TRUE,Wording change,
Dating,Communication,Conflict resolution,Seeks physical comfort post-conflict,FALSE,TRUE,New,
Dating,Communication,Conflict resolution,Tends to be avoidant,FALSE,FALSE,Same,
Dating,Communication,Conflict resolution,Uses humor to reconnect,FALSE,TRUE,New,
Dating,Communication,Conversation medium,Casual & informal texter,TRUE,TRUE,Split,
Dating,Communication,Conversation medium,Communicates through memes and emojis,TRUE,FALSE,Same,
Dating,Communication,Conversation medium,Communicates through photos and images,TRUE,FALSE,Same,
Dating,Communication,Conversation medium,Not a texter,FALSE,FALSE,Same,TRUE
Dating,Communication,Conversation medium,Prefers phone calls,TRUE,TRUE,Wording change,
Dating,Communication,Conversation medium,Prefers texting,TRUE,TRUE,Wording change,
Dating,Communication,Conversation medium,Prefers video calls,TRUE,TRUE,Wording change,
Dating,Communication,Conversation medium,Texts using proper grammar,TRUE,TRUE,Split,
Dating,Communication,Conversation medium,Values in-person communication,TRUE,FALSE,Same,
Dating,Communication,Directness,Avoids debates with partner,FALSE,FALSE,Same,TRUE
Dating,Communication,Directness,Open to differences,TRUE,TRUE,New,
Dating,Communication,Directness,Prefers sensitive communication,FALSE,FALSE,Same,TRUE
Dating,Communication,Directness,Values direct communication,TRUE,FALSE,Same,
